time, 0.00          ,   2.500000E-01,   2.600000E-01,   5.000000E-01,   7.500000E-01,   1.000000E+00,   1.250000E+00,   1.500000E+00,   1.750000E+00,   2.000000E+00,   2.250000E+00,   2.500000E+00,   2.750000E+00,   3.000000E+00,   3.250000E+00,   3.500000E+00,   3.750000E+00,   4.000000E+00,   4.250000E+00,   4.500000E+00,   4.750000E+00,   5.000000E+00
tc,   2.700000E+02,   2.700000E+02,   2.710000E+02,   2.710000E+02,   2.710000E+02,   2.710000E+02,   2.710000E+02,   2.710000E+02,   2.710000E+02,   2.710000E+02,   2.710000E+02,   2.710000E+02,   2.710000E+02,   2.710000E+02,   2.710000E+02,   2.710000E+02,   2.710000E+02,   2.710000E+02,   2.710000E+02,   2.710000E+02,   2.710000E+02,   2.710000E+02
q,   1.000000E+02,   1.000000E+02,   1.000000E+02,   1.000000E+02,   1.000000E+02,   1.000000E+02,   1.000000E+02,   1.000000E+02,   1.000000E+02,   1.000000E+02,   1.000000E+02,   1.000000E+02,   1.000000E+02,   1.000000E+02,   1.000000E+02,   1.000000E+02,   1.000000E+02,   1.000000E+02,   1.000000E+02,   1.000000E+02,   1.000000E+02,   1.000000E+02
v,   1.000000E+02,   1.000000E+02,   1.000000E+02,   1.000000E+02,   1.000000E+02,   1.000000E+02,   1.000000E+02,   1.000000E+02,   1.000000E+02,   1.000000E+02,   1.000000E+02,   1.000000E+02,   1.000000E+02,   1.000000E+02,   1.000000E+02,   1.000000E+02,   1.000000E+02,   1.000000E+02,   1.000000E+02,   1.000000E+02,   1.000000E+02,   1.000000E+02
rho,   1.000000E+03,   1.000000E+03,   1.000000E+03,   1.000000E+03,   1.000000E+03,   1.000000E+03,   1.000000E+03,   1.000000E+03,   1.000000E+03,   1.000000E+03,   1.000000E+03,   1.000000E+03,   1.000000E+03,   1.000000E+03,   1.000000E+03,   1.000000E+03,   1.000000E+03,   1.000000E+03,   1.000000E+03,   1.000000E+03,   1.000000E+03,   1.000000E+03
cp,   2.390000E-01,   2.390000E-01,   2.390000E-01,   2.390000E-01,   2.390000E-01,   2.390000E-01,   2.390000E-01,   2.390000E-01,   2.390000E-01,   2.390000E-01,   2.390000E-01,   2.390000E-01,   2.390000E-01,   2.390000E-01,   2.390000E-01,   2.390000E-01,   2.390000E-01,   2.390000E-01,   2.390000E-01,   2.390000E-01,   2.390000E-01,   2.390000E-01
mdelh,   5.000000E+04,   5.000000E+04,   5.000000E+04,   5.000000E+04,   5.000000E+04,   5.000000E+04,   5.000000E+04,   5.000000E+04,   5.000000E+04,   5.000000E+04,   5.000000E+04,   5.000000E+04,   5.000000E+04,   5.000000E+04,   5.000000E+04,   5.000000E+04,   5.000000E+04,   5.000000E+04,   5.000000E+04,   5.000000E+04,   5.000000E+04,   5.000000E+04
eoverr,   8.750000E+03,   8.750000E+03,   8.750000E+03,   8.750000E+03,   8.750000E+03,   8.750000E+03,   8.750000E+03,   8.750000E+03,   8.750000E+03,   8.750000E+03,   8.750000E+03,   8.750000E+03,   8.750000E+03,   8.750000E+03,   8.750000E+03,   8.750000E+03,   8.750000E+03,   8.750000E+03,   8.750000E+03,   8.750000E+03,   8.750000E+03,   8.750000E+03
k0,   7.200000E+10,   7.200000E+10,   7.200000E+10,   7.200000E+10,   7.200000E+10,   7.200000E+10,   7.200000E+10,   7.200000E+10,   7.200000E+10,   7.200000E+10,   7.200000E+10,   7.200000E+10,   7.200000E+10,   7.200000E+10,   7.200000E+10,   7.200000E+10,   7.200000E+10,   7.200000E+10,   7.200000E+10,   7.200000E+10,   7.200000E+10,   7.200000E+10
ua,   5.000000E+04,   5.000000E+04,   5.000000E+04,   5.000000E+04,   5.000000E+04,   5.000000E+04,   5.000000E+04,   5.000000E+04,   5.000000E+04,   5.000000E+04,   5.000000E+04,   5.000000E+04,   5.000000E+04,   5.000000E+04,   5.000000E+04,   5.000000E+04,   5.000000E+04,   5.000000E+04,   5.000000E+04,   5.000000E+04,   5.000000E+04,   5.000000E+04
caf,   1.000000E+00,   1.000000E+00,   1.000000E+00,   1.000000E+00,   1.000000E+00,   1.000000E+00,   1.000000E+00,   1.000000E+00,   1.000000E+00,   1.000000E+00,   1.000000E+00,   1.000000E+00,   1.000000E+00,   1.000000E+00,   1.000000E+00,   1.000000E+00,   1.000000E+00,   1.000000E+00,   1.000000E+00,   1.000000E+00,   1.000000E+00,   1.000000E+00
tf,   3.500000E+02,   3.500000E+02,   3.500000E+02,   3.500000E+02,   3.500000E+02,   3.500000E+02,   3.500000E+02,   3.500000E+02,   3.500000E+02,   3.500000E+02,   3.500000E+02,   3.500000E+02,   3.500000E+02,   3.500000E+02,   3.500000E+02,   3.500000E+02,   3.500000E+02,   3.500000E+02,   3.500000E+02,   3.500000E+02,   3.500000E+02,   3.500000E+02
ca,   9.890069E-01,   9.890069E-01,   9.890068E-01,   9.889545E-01,   9.888486E-01,   9.887337E-01,   9.886280E-01,   9.885379E-01,   9.884638E-01,   9.884043E-01,   9.883571E-01,   9.883200E-01,   9.882909E-01,   9.882682E-01,   9.882505E-01,   9.882367E-01,   9.882260E-01,   9.882177E-01,   9.882112E-01,   9.882062E-01,   9.882023E-01,   9.881992E-01
t,   2.966166E+02,   2.966166E+02,   2.966270E+02,   2.969821E+02,   2.971676E+02,   2.972593E+02,   2.973046E+02,   2.973269E+02,   2.973380E+02,   2.973434E+02,   2.973461E+02,   2.973474E+02,   2.973480E+02,   2.973483E+02,   2.973485E+02,   2.973485E+02,   2.973485E+02,   2.973486E+02,   2.973486E+02,   2.973486E+02,   2.973485E+02,   2.973485E+02
